Total execution time: 62.94 minutes 

Generations: 20

Gen Max  Mean  Std  Med
0  30.687 -0.31 10.92 -5.301 

Gen Max  Mean  Std  Med
1  30.687 -1.815 9.12 -5.694 

Gen Max  Mean  Std  Med
2  30.687 -0.299 9.565 -5.257 

Gen Max  Mean  Std  Med
3  30.83 2.292 11.365 -5.204 

Gen Max  Mean  Std  Med
4  30.83 4.334 11.18 2.817 

Gen Max  Mean  Std  Med
5  30.83 4.638 12.793 2.628 

Gen Max  Mean  Std  Med
6  30.83 8.033 13.579 3.376 

Gen Max  Mean  Std  Med
7  30.83 9.594 13.44 3.813 

Gen Max  Mean  Std  Med
8  30.83 12.708 13.738 12.48 

Gen Max  Mean  Std  Med
9  30.83 9.803 13.69 3.753 

Gen Max  Mean  Std  Med
10  48.316 11.953 15.257 12.802 

Gen Max  Mean  Std  Med
11  48.316 12.482 16.059 11.94 

Gen Max  Mean  Std  Med
12  48.316 11.818 16.002 7.928 

Gen Max  Mean  Std  Med
13  48.316 12.908 15.722 12.702 

Gen Max  Mean  Std  Med
14  48.316 14.521 14.447 12.457 

Gen Max  Mean  Std  Med
15  48.316 13.53 15.847 16.68 

Gen Max  Mean  Std  Med
16  48.316 15.066 15.596 16.766 

Gen Max  Mean  Std  Med
17  48.593 16.69 17.139 17.045 

Gen Max  Mean  Std  Med
18  48.593 17.601 16.209 21.602 

Gen Max  Mean  Std  Med
19  48.593 16.656 16.804 21.32 
